iter	RMSE
0	14.62919098
1	14.24148326
2	13.85900071
3	13.51699188
4	13.18435929
5	12.87962945
6	12.57313329
7	12.33273035
8	12.05312612
9	11.79149894
10	11.54862183
11	11.30519165
12	11.10088683
13	10.86741602
14	10.67469951
15	10.46033784
16	10.26836129
17	10.09596939
18	9.900844222
19	9.718458868
20	9.564999202
21	9.418409852
22	9.249892287
23	9.101171967
24	8.937389049
25	8.801814234
26	8.660689323
27	8.505714674
28	8.392049011
29	8.281800921
30	8.17766506
31	8.046366479
32	7.925733111
33	7.804135873
34	7.686857381
35	7.579862269
36	7.481970402
37	7.390285007
38	7.297433535
39	7.202250284
40	7.116732501
41	7.043317219
42	6.959930009
43	6.881330479
44	6.804323111
45	6.731299104
46	6.657243087
47	6.594028957
48	6.539536586
49	6.467045371
50	6.401910047
51	6.339300205
52	6.283628478
53	6.222883895
54	6.170984444
55	6.125752478
56	6.082680992
57	6.038038007
58	5.999975389
59	5.948305458
60	5.902748045
61	5.854032495
62	5.811856307
63	5.765913731
64	5.73379845
65	5.689408658
66	5.65392622
67	5.627671159
68	5.587323296
69	5.555600713
70	5.516380066
71	5.496233985
72	5.466055149
73	5.428346018
74	5.392759485
75	5.362565133
76	5.330619709
77	5.304409938
78	5.271120198
79	5.253711469
80	5.233150231
81	5.210272826
82	5.184941146
83	5.166381964
84	5.142107875
85	5.118983023
86	5.102734097
87	5.085111935
88	5.062450338
89	5.043837161
90	5.028942026
91	5.010065697
92	4.991138346
93	4.978008765
94	4.963817264
95	4.950860515
96	4.934286289
97	4.916021445
98	4.89517335
99	4.879191609
100	4.862993089
101	4.851338859
102	4.840192119
103	4.825600861
104	4.813447831
105	4.800591456
106	4.784367071
107	4.776231918
108	4.760791893
109	4.746466049
110	4.733015205
111	4.721469239
112	4.705449879
113	4.696259485
114	4.681539583
115	4.664608497
116	4.651698513
117	4.639224922
118	4.626502337
119	4.616789325
120	4.60368569
121	4.594126426
122	4.584482636
123	4.575261276
124	4.561084134
125	4.550057289
126	4.533268436
127	4.522108582
128	4.510307995
129	4.502373363
130	4.488593207
131	4.479782454
132	4.470794225
133	4.463619314
134	4.455834565
135	4.446129433
136	4.43782809
137	4.432562701
138	4.421821356
139	4.415593495
140	4.409844804
141	4.402017689
142	4.395207326
143	4.388220579
144	4.37358209
145	4.363295655
146	4.355324838
147	4.343635187
148	4.337592837
149	4.32681524
150	4.316868017
151	4.306990007
152	4.297813269
153	4.288067871
154	4.27634031
155	4.266304688
156	4.259381485
157	4.252441652
158	4.239913627
159	4.23055914
160	4.224469714
161	4.213319284
162	4.204544491
163	4.193850162
164	4.187930399
165	4.184665204
166	4.184242851
167	4.180177008
168	4.173698875
169	4.168419672
170	4.157001093
171	4.14894553
172	4.140667478
173	4.13086513
174	4.125319
175	4.121543249
176	4.108544197
177	4.099154803
178	4.092117936
179	4.08504137
180	4.075973837
181	4.069426181
182	4.059784831
183	4.051224884
184	4.047175437
185	4.035566624
186	4.026623401
187	4.021647922
188	4.013531714
189	4.007369844
190	3.999827696
191	3.991611497
192	3.985723354
193	3.980732697
194	3.973701918
195	3.968357853
196	3.952627147
197	3.946637126
198	3.938992618
199	3.929951779
200	3.922054958
201	3.913596806
202	3.906767872
203	3.900096496
204	3.890423045
205	3.882167562
206	3.869208982
207	3.862506299
208	3.851193426
209	3.847395507
210	3.837426088
211	3.830719063
212	3.823939419
213	3.819364018
214	3.811633848
215	3.80210184
216	3.795299737
217	3.791122759
218	3.780636244
219	3.768019679
220	3.762924492
221	3.754725682
222	3.748225479
223	3.739446417
224	3.732055367
225	3.724440443
226	3.716032268
227	3.707211812
228	3.700917939
229	3.692182698
230	3.687545117
231	3.676649567
232	3.668389628
233	3.658375819
234	3.65330894
235	3.647102904
236	3.639394405
237	3.630948929
238	3.622061539
239	3.617791954
240	3.607995372
241	3.598529077
242	3.591708909
243	3.582881809
244	3.574565544
245	3.566695099
246	3.559200271
247	3.550609069
248	3.546142718
249	3.537969513
250	3.529762751
251	3.524694108
252	3.516767538
253	3.509778114
254	3.499629949
255	3.49076645
256	3.480126114
257	3.474900889
258	3.465892218
259	3.462039279
260	3.456978624
261	3.445265167
262	3.440645742
263	3.434857544
264	3.42786621
265	3.422638122
266	3.419015477
267	3.413662544
268	3.407182285
269	3.40027487
270	3.395056668
271	3.383550605
272	3.374870547
273	3.363091823
274	3.357594455
275	3.351628288
276	3.347650723
277	3.338065734
278	3.332404618
279	3.324063244
280	3.318412285
281	3.316320167
282	3.309533666
283	3.303645829
284	3.303017777
285	3.295661977
286	3.290482447
287	3.286122404
288	3.281615647
289	3.276199959
290	3.268167936
291	3.260948236
292	3.256981748
293	3.252289365
294	3.246466043
295	3.239247339
296	3.231604891
297	3.225807338
298	3.220716345
299	3.217459887
300	3.211665626
301	3.20327447
302	3.197387161
303	3.19049941
304	3.184247962
305	3.17806189
306	3.170509238
307	3.165495302
308	3.159315496
309	3.153443663
310	3.146485394
311	3.144169516
312	3.13496762
313	3.130191154
314	3.123606379
315	3.119804297
