iter	Passed	Remaining
0	2	2627
1	5	2538
2	7	2457
3	9	2423
4	12	2415
5	14	2383
6	16	2397
7	19	2381
8	21	2339
9	23	2313
10	26	2348
11	28	2340
12	30	2289
13	31	2241
14	33	2202
15	35	2168
16	37	2140
17	38	2114
18	41	2129
19	43	2133
20	45	2108
21	47	2091
22	48	2066
23	50	2047
24	52	2029
25	53	2013
26	55	2010
27	57	2012
28	59	2007
29	61	1993
30	63	1977
31	64	1964
32	66	1950
33	68	1939
34	70	1945
35	72	1952
36	74	1951
37	77	1953
38	79	1950
39	81	1948
40	82	1939
41	84	1929
42	86	1930
43	89	1936
44	90	1927
45	92	1921
46	94	1916
47	96	1920
48	98	1921
49	101	1919
50	103	1924
51	105	1926
52	107	1926
53	109	1922
54	111	1914
55	113	1905
56	114	1899
57	117	1901
58	119	1902
59	121	1897
60	122	1892
61	124	1885
62	126	1879
63	128	1872
64	129	1867
65	131	1864
66	133	1864
67	136	1869
68	138	1863
69	139	1858
70	141	1852
71	143	1846
72	145	1843
73	146	1839
74	149	1841
75	151	1840
76	153	1834
77	154	1828
78	156	1822
79	157	1816
80	159	1814
81	161	1810
82	163	1811
83	166	1811
84	167	1806
85	169	1802
86	171	1797
87	172	1792
88	175	1793
89	176	1788
90	179	1789
91	181	1790
92	183	1787
93	185	1783
94	187	1782
95	189	1781
96	190	1777
97	192	1773
98	194	1773
99	197	1774
100	198	1771
101	200	1766
102	202	1762
103	204	1757
104	205	1754
105	207	1750
106	209	1750
107	212	1751
108	214	1749
109	215	1746
110	217	1742
111	219	1737
112	220	1734
113	222	1729
114	224	1729
115	227	1733
116	229	1730
117	231	1726
118	232	1723
119	234	1720
120	236	1716
121	237	1712
122	240	1712
123	242	1713
124	244	1710
125	246	1706
126	247	1703
127	249	1699
128	251	1696
129	253	1695
130	255	1693
131	257	1696
132	259	1693
133	261	1689
134	263	1685
135	264	1682
136	266	1679
137	268	1679
138	271	1679
139	273	1677
140	275	1675
141	276	1672
142	278	1671
143	280	1670
144	282	1666
145	284	1663
146	286	1662
147	288	1661
148	290	1658
149	292	1655
150	293	1652
151	295	1649
152	297	1645
153	299	1642
154	301	1642
155	303	1642
156	305	1639
157	307	1636
158	308	1633
159	310	1629
160	312	1626
161	313	1623
162	315	1621
163	318	1621
164	320	1620
165	322	1619
166	323	1611
167	325	1610
168	327	1610
169	329	1610
170	332	1611
171	334	1611
172	337	1611
173	339	1610
174	341	1609
175	343	1606
176	345	1605
177	347	1604
178	349	1603
179	351	1602
180	353	1601
181	355	1598
182	357	1596
183	359	1595
184	361	1594
185	364	1595
186	366	1594
187	368	1592
188	370	1591
189	372	1589
190	374	1587
191	376	1585
192	379	1586
193	381	1585
194	383	1585
195	386	1584
196	388	1583
197	390	1582
198	393	1582
199	395	1583
200	397	1581
201	399	1580
202	401	1577
203	403	1575
204	405	1573
205	408	1573
206	410	1574
207	412	1572
208	414	1570
209	416	1568
210	419	1567
211	421	1565
212	423	1565
213	426	1566
214	428	1563
215	430	1561
216	432	1559
217	433	1556
218	435	1554
219	438	1555
220	441	1555
221	443	1554
222	445	1551
223	447	1549
224	449	1547
225	451	1546
226	453	1544
227	455	1543
228	458	1542
229	459	1539
230	461	1537
231	463	1534
232	465	1532
233	467	1531
234	469	1529
235	472	1528
236	474	1527
237	476	1526
238	478	1525
239	481	1524
240	483	1522
241	485	1522
242	488	1520
243	490	1518
244	492	1516
245	494	1514
246	495	1511
247	498	1510
248	500	1509
249	502	1508
250	504	1506
251	506	1504
252	508	1501
253	510	1498
254	512	1497
255	514	1496
256	517	1496
257	519	1494
258	521	1492
259	523	1491
260	526	1489
261	528	1488
262	530	1487
263	533	1485
264	534	1483
265	536	1481
266	538	1479
267	540	1477
268	543	1476
269	545	1474
270	548	1474
271	550	1473
272	552	1470
273	553	1467
274	555	1464
275	557	1462
276	559	1460
277	561	1459
278	563	1457
279	565	1454
280	567	1451
281	568	1448
282	570	1446
283	572	1443
284	574	1440
285	576	1439
286	578	1437
287	580	1435
288	582	1432
289	584	1430
290	586	1428
291	588	1426
292	589	1423
293	592	1423
294	594	1421
295	596	1419
296	598	1416
297	599	1413
298	601	1410
299	603	1407
300	604	1404
301	607	1402
302	609	1401
303	610	1398
304	612	1395
305	614	1392
306	615	1389
307	617	1387
308	619	1384
309	620	1382
310	623	1380
311	625	1378
312	627	1376
313	628	1373
314	630	1371
315	632	1368
316	634	1366
317	635	1363
318	638	1362
319	640	1361
320	642	1359
321	644	1356
322	646	1354
323	647	1351
324	649	1348
325	651	1346
326	653	1345
327	656	1344
328	658	1342
329	659	1339
330	661	1337
331	663	1334
332	665	1332
333	667	1330
334	668	1327
335	671	1326
336	673	1325
337	675	1323
338	677	1321
339	679	1319
340	681	1316
341	683	1314
342	685	1313
343	687	1311
344	689	1308
345	690	1306
346	692	1303
347	694	1301
348	696	1298
349	698	1296
350	700	1295
351	702	1293
352	704	1291
353	706	1288
354	707	1285
355	709	1283
356	711	1280
357	713	1279
358	715	1277
359	717	1275
360	719	1273
361	720	1270
362	722	1268
363	724	1265
364	726	1263
365	728	1261
366	730	1259
367	732	1257
368	734	1255
369	735	1252
370	737	1250
371	739	1247
372	740	1245
373	742	1243
374	744	1240
375	746	1239
376	748	1237
377	750	1234
378	751	1232
379	753	1229
380	755	1227
381	757	1225
382	759	1222
383	761	1221
384	763	1219
385	764	1216
386	766	1214
387	768	1211
388	769	1209
389	771	1207
390	773	1205
391	775	1202
392	777	1200
393	779	1199
394	781	1197
395	783	1195
396	785	1193
397	787	1191
398	789	1189
399	791	1187
400	793	1185
401	795	1183
402	797	1180
403	798	1178
404	800	1176
405	802	1174
406	804	1172
407	807	1171
408	809	1170
409	811	1168
410	813	1165
411	814	1163
412	816	1160
413	818	1158
414	819	1155
415	822	1154
416	824	1152
417	826	1150
418	827	1148
419	829	1145
420	831	1143
421	833	1140
422	834	1138
423	836	1136
424	838	1135
425	841	1133
426	842	1131
427	844	1128
428	846	1126
429	847	1124
430	849	1121
431	851	1119
432	853	1117
433	855	1116
434	857	1113
435	859	1111
436	860	1108
437	862	1106
438	863	1104
439	865	1102
440	867	1099
441	870	1098
442	871	1096
443	874	1094
444	876	1092
445	878	1091
446	880	1089
447	882	1086
448	884	1085
449	886	1083
450	888	1081
451	889	1079
452	891	1076
453	893	1074
454	895	1072
455	897	1070
456	899	1069
457	901	1067
458	903	1065
459	905	1062
460	907	1060
461	909	1058
462	911	1056
463	913	1055
464	915	1053
465	917	1051
466	919	1049
467	920	1046
468	922	1044
469	924	1042
470	926	1040
471	929	1039
472	932	1038
473	934	1037
474	937	1035
475	939	1034
476	941	1031
477	943	1030
478	945	1028
479	947	1026
480	949	1024
481	951	1022
482	952	1019
483	954	1017
484	956	1015
485	957	1012
486	959	1011
487	962	1009
488	963	1007
489	965	1005
490	967	1002
491	968	1000
492	971	998
493	972	996
494	974	994
495	977	992
496	979	990
497	980	988
498	982	986
499	984	984
500	986	982
501	987	979
502	989	977
503	991	975
504	993	974
505	995	971
506	997	969
507	998	967
508	1000	965
509	1002	963
510	1004	960
511	1006	958
512	1008	957
513	1010	955
514	1012	953
515	1013	950
516	1015	948
517	1017	946
518	1018	944
519	1020	942
520	1022	940
521	1024	938
522	1026	935
523	1027	933
524	1029	931
525	1031	929
526	1032	927
527	1034	925
528	1036	923
529	1038	921
530	1040	919
531	1042	916
532	1044	914
533	1045	912
534	1047	910
535	1049	908
536	1051	906
537	1053	904
538	1055	902
539	1057	900
540	1058	898
541	1060	896
542	1061	893
543	1063	891
544	1065	889
545	1066	887
546	1068	884
547	1070	882
548	1072	880
549	1073	878
550	1075	876
551	1077	874
552	1078	871
553	1080	869
554	1081	867
555	1083	865
556	1085	863
557	1086	861
558	1088	858
559	1090	856
560	1091	854
561	1093	851
562	1094	849
563	1096	847
564	1097	845
565	1099	843
566	1101	840
567	1102	838
568	1104	836
569	1105	834
570	1107	831
571	1108	829
572	1110	827
573	1111	825
574	1113	823
575	1115	821
576	1117	819
577	1118	816
578	1120	814
579	1121	812
580	1123	810
581	1124	807
582	1126	805
583	1128	803
584	1129	801
585	1132	799
586	1133	797
587	1135	795
588	1136	793
589	1138	790
590	1139	788
591	1141	786
592	1142	784
593	1144	782
594	1146	780
595	1148	778
596	1149	776
597	1151	773
598	1152	771
599	1154	769
600	1155	767
601	1157	765
602	1160	764
603	1162	761
604	1163	759
605	1165	757
606	1166	755
607	1168	753
608	1169	750
609	1170	748
610	1172	746
611	1174	744
612	1176	742
613	1177	740
614	1179	738
615	1181	736
616	1182	734
617	1184	732
618	1185	729
619	1187	727
620	1189	726
621	1191	724
622	1193	722
623	1195	720
624	1196	718
625	1198	716
626	1200	713
627	1201	711
628	1203	709
629	1205	708
630	1207	706
631	1209	704
632	1210	701
633	1212	700
634	1214	698
635	1215	695
636	1217	693
637	1219	692
638	1221	690
639	1223	688
640	1224	686
641	1226	683
642	1227	681
643	1229	679
644	1231	677
645	1232	675
646	1234	673
647	1236	671
648	1238	669
649	1239	667
650	1241	665
651	1243	663
652	1245	661
653	1246	659
654	1248	657
655	1249	655
656	1251	653
657	1253	651
658	1254	649
659	1256	647
660	1258	645
661	1259	643
662	1261	641
663	1262	638
664	1264	636
665	1266	635
666	1268	633
667	1270	631
668	1271	629
669	1273	627
670	1274	624
671	1276	622
672	1277	620
673	1279	618
674	1281	617
675	1283	615
676	1285	613
677	1286	611
678	1288	608
679	1289	606
680	1291	604
681	1292	602
682	1294	600
683	1296	599
684	1299	597
685	1300	595
686	1302	593
687	1304	591
688	1306	589
689	1308	587
690	1309	585
691	1311	583
692	1313	581
693	1315	579
694	1316	577
695	1318	575
696	1319	573
697	1321	571
698	1322	569
699	1324	567
700	1326	565
701	1328	563
702	1330	561
703	1332	560
704	1334	558
705	1335	556
706	1337	554
707	1338	552
708	1340	550
709	1342	548
710	1344	546
711	1346	544
712	1347	542
713	1349	540
714	1350	538
715	1352	536
716	1353	534
717	1355	532
718	1357	530
719	1358	528
720	1360	526
721	1362	524
722	1363	522
723	1365	520
724	1366	518
725	1368	516
726	1370	514
727	1371	512
728	1373	510
729	1375	508
730	1377	506
731	1378	504
732	1380	502
733	1381	500
734	1383	498
735	1384	496
736	1386	494
737	1387	492
738	1389	490
739	1391	488
740	1392	486
741	1394	484
742	1396	482
743	1397	480
744	1399	478
745	1400	476
746	1402	474
747	1404	473
748	1406	471
749	1407	469
750	1409	467
751	1410	465
752	1412	463
753	1413	461
754	1415	459
755	1417	457
756	1418	455
757	1420	453
758	1422	451
759	1424	449
760	1426	447
761	1427	445
762	1429	443
763	1430	442
764	1432	440
765	1434	438
766	1436	436
767	1438	434
768	1440	432
769	1441	430
770	1443	428
771	1444	426
772	1446	424
773	1447	422
774	1449	420
775	1451	419
776	1453	417
777	1454	415
778	1456	413
779	1457	411
780	1459	409
781	1460	407
782	1462	405
783	1464	403
784	1466	401
785	1468	399
786	1469	397
787	1471	395
788	1472	393
789	1474	391
790	1475	389
791	1477	387
792	1478	385
793	1480	384
794	1482	382
795	1484	380
796	1485	378
797	1487	376
798	1488	374
799	1490	372
800	1491	370
801	1493	368
802	1494	366
803	1496	364
804	1498	363
805	1500	361
806	1501	359
807	1503	357
808	1504	355
809	1506	353
810	1508	351
811	1509	349
812	1511	347
813	1513	345
814	1514	343
815	1516	341
816	1517	339
817	1519	338
818	1520	336
819	1522	334
820	1524	332
821	1525	330
822	1527	328
823	1529	326
824	1531	324
825	1533	322
826	1534	321
827	1536	319
828	1537	317
829	1539	315
830	1541	313
831	1542	311
832	1544	309
833	1546	307
834	1547	305
835	1549	303
836	1550	302
837	1552	300
838	1553	298
839	1555	296
840	1557	294
841	1559	292
842	1560	290
843	1562	288
844	1564	286
845	1565	284
846	1567	283
847	1568	281
848	1570	279
849	1572	277
850	1573	275
851	1575	273
852	1577	271
853	1578	269
854	1580	267
855	1581	266
856	1583	264
857	1584	262
858	1586	260
859	1587	258
860	1589	256
861	1591	254
862	1592	252
863	1594	250
864	1596	249
865	1597	247
866	1599	245
867	1600	243
868	1602	241
869	1604	239
870	1606	237
871	1607	236
872	1609	234
873	1610	232
874	1612	230
875	1613	228
876	1615	226
877	1617	224
878	1619	222
879	1621	221
880	1622	219
881	1624	217
882	1625	215
883	1627	213
884	1629	211
885	1630	209
886	1632	207
887	1633	206
888	1635	204
889	1637	202
890	1639	200
891	1641	198
892	1642	196
893	1644	194
894	1646	193
895	1647	191
896	1649	189
897	1651	187
898	1652	185
899	1654	183
900	1656	181
901	1657	180
902	1659	178
903	1660	176
904	1662	174
905	1664	172
906	1666	170
907	1668	169
908	1670	167
909	1671	165
910	1673	163
911	1675	161
912	1677	159
913	1678	157
914	1680	156
915	1682	154
916	1684	152
917	1685	150
918	1687	148
919	1688	146
920	1690	144
921	1691	143
922	1693	141
923	1695	139
924	1697	137
925	1699	135
926	1700	133
927	1702	132
928	1704	130
929	1705	128
930	1707	126
931	1708	124
932	1710	122
933	1712	121
934	1714	119
935	1715	117
936	1717	115
937	1718	113
938	1720	111
939	1721	109
940	1723	108
941	1725	106
942	1726	104
943	1728	102
944	1730	100
945	1732	98
946	1734	97
947	1735	95
948	1737	93
949	1738	91
950	1740	89
951	1741	87
952	1743	86
953	1745	84
954	1747	82
955	1748	80
956	1750	78
957	1751	76
958	1753	74
959	1754	73
960	1756	71
961	1758	69
962	1760	67
963	1761	65
964	1763	63
965	1764	62
966	1766	60
967	1767	58
968	1769	56
969	1770	54
970	1772	52
971	1774	51
972	1776	49
973	1777	47
974	1779	45
975	1780	43
976	1782	41
977	1783	40
978	1785	38
979	1786	36
980	1788	34
981	1790	32
982	1791	30
983	1793	29
984	1794	27
985	1796	25
986	1797	23
987	1799	21
988	1801	20
989	1802	18
990	1804	16
991	1806	14
992	1808	12
993	1809	10
994	1811	9
995	1812	7
996	1814	5
997	1816	3
998	1817	1
999	1819	0
