gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,overall,reading_score,writing_score,study_time,screen_time,health,going_out_with_friends,absences,failure,science_score,activities,romantic,travel_time,math_score
female,group B,bachelor's degree,standard,none,72,72,74,4,3,Average,Rarely,2,0,95,Participates,No,>60 min,78.25
female,group C,some college,standard,completed,69,90,88,3,4,Average,Sometimes,18,1,65,Doesn't Participate,Yes,>60 min,78.0
female,group B,master's degree,standard,none,90,95,93,1,6,Average,Never,2,1,18,Doesn't Participate,No,<15 min,74.0
male,group A,associate's degree,free/reduced,none,47,57,44,9,3,Excellent,Often,8,1,52,Doesn't Participate,Yes,>60 min,50.0
male,group C,some college,standard,none,76,78,75,7,3,Poor,Rarely,7,0,57,Doesn't Participate,Yes,15-30 min,71.5
female,group B,associate's degree,standard,none,71,83,78,8,2,Average,Sometimes,1,1,5,Participates,No,30-60 min,59.25
female,group B,some college,standard,completed,88,95,92,2,5,Poor,Rarely,0,1,68,Participates,Yes,30-60 min,85.75
male,group B,some college,free/reduced,none,40,43,39,6,5,Good,Sometimes,1,0,50,Doesn't Participate,Yes,<15 min,43.0
male,group D,high school,free/reduced,completed,64,64,67,9,1,Poor,Rarely,3,1,71,Doesn't Participate,Yes,30-60 min,66.5
female,group B,high school,free/reduced,none,38,60,50,4,8,Average,Rarely,16,1,35,Participates,Yes,30-60 min,45.75
male,group C,associate's degree,standard,none,58,54,52,5,6,Excellent,Never,20,1,35,Doesn't Participate,No,<15 min,49.75
male,group D,associate's degree,standard,none,40,52,43,1,3,Average,Often,12,1,17,Doesn't Participate,Yes,15-30 min,38.0
female,group B,high school,standard,none,65,81,73,9,6,Poor,Never,2,1,90,Participates,Yes,15-30 min,77.25
male,group A,some college,standard,completed,78,72,70,1,3,Excellent,Never,20,1,5,Doesn't Participate,No,<15 min,56.25
female,group A,master's degree,standard,none,50,53,58,6,8,Average,Rarely,0,1,60,Doesn't Participate,Yes,30-60 min,55.25
female,group C,some high school,standard,none,69,75,78,3,2,Good,Never,4,0,22,Doesn't Participate,No,30-60 min,61.0
male,group C,high school,standard,none,88,89,86,1,6,Poor,Sometimes,13,0,8,Participates,Yes,15-30 min,67.75
female,group B,some high school,free/reduced,none,18,32,28,1,7,Good,Often,3,0,68,Participates,Yes,>60 min,36.5
male,group C,master's degree,free/reduced,completed,46,42,46,10,6,Good,Never,10,1,97,Doesn't Participate,Yes,<15 min,57.75
female,group C,associate's degree,free/reduced,none,54,58,61,1,5,Excellent,Never,11,1,3,Doesn't Participate,No,<15 min,44.0
male,group D,high school,standard,none,66,69,63,8,5,Excellent,Sometimes,12,1,12,Doesn't Participate,No,<15 min,52.5
female,group B,some college,free/reduced,completed,65,75,70,8,2,Poor,Often,0,1,41,Doesn't Participate,No,>60 min,62.75
male,group D,some college,standard,none,44,54,53,5,7,Excellent,Sometimes,10,0,4,Doesn't Participate,No,<15 min,38.75
female,group C,some high school,standard,none,69,73,73,3,5,Poor,Never,5,0,82,Participates,No,<15 min,74.25
male,group D,bachelor's degree,free/reduced,completed,74,71,80,4,2,Good,Sometimes,6,0,25,Participates,No,>60 min,62.5
male,group A,master's degree,free/reduced,none,73,74,72,7,3,Good,Often,9,1,32,Doesn't Participate,No,30-60 min,62.75
male,group B,some college,standard,none,69,54,55,2,3,Poor,Sometimes,14,1,74,Participates,Yes,>60 min,63.0
female,group C,bachelor's degree,standard,none,67,69,75,8,1,Excellent,Sometimes,3,1,43,Participates,Yes,30-60 min,63.5
male,group C,high school,standard,none,70,70,65,5,8,Excellent,Never,15,0,89,Doesn't Participate,Yes,<15 min,73.5
female,group D,master's degree,standard,none,62,70,75,5,2,Good,Often,15,1,92,Doesn't Participate,No,15-30 min,74.75
female,group D,some college,standard,none,69,74,74,5,1,Excellent,Never,2,0,71,Doesn't Participate,No,>60 min,72.0
female,group B,some college,standard,none,63,65,61,8,7,Poor,Rarely,8,0,60,Participates,No,15-30 min,62.25
female,group E,master's degree,free/reduced,none,56,72,65,1,7,Good,Rarely,18,0,27,Doesn't Participate,No,30-60 min,55.0
male,group D,some college,standard,none,40,42,38,2,3,Excellent,Never,10,1,62,Doesn't Participate,Yes,>60 min,45.5
male,group E,some college,standard,none,97,87,82,7,5,Average,Never,19,0,92,Participates,No,15-30 min,89.5
male,group E,associate's degree,standard,completed,81,81,79,3,5,Good,Often,14,0,31,Doesn't Participate,Yes,30-60 min,68.0
female,group D,associate's degree,standard,none,74,81,83,10,2,Poor,Sometimes,13,1,19,Doesn't Participate,No,>60 min,64.25
